Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7878657.241
WORLD,900,2022,7963012.331
WORLD,900,2023,8047799.35700001
WORLD,900,2024,8132971.572
WORLD,900,2025,8218500.928
WORLD,900,2026,8304378.543
WORLD,900,2027,8390613.091
WORLD,900,2028,8477230.15899999
WORLD,900,2029,8564266.763
WORLD,900,2030,8651760.923
WORLD,900,2031,8739738.934
WORLD,900,2032,8828205.131
WORLD,900,2033,8917136.46
WORLD,900,2034,9006496.15600001
WORLD,900,2035,9096271.762
WORLD,900,2036,9186496.88199999
WORLD,900,2037,9277234.803
WORLD,900,2038,9368545.374
WORLD,900,2039,9460502.153
WORLD,900,2040,9553185.55500001
WORLD,900,2041,9646667.03800001
WORLD,900,2042,9741034.989
WORLD,900,2043,9836414.545
WORLD,900,2044,9932948.786
WORLD,900,2045,10030773.839
WORLD,900,2046,10129999.715
WORLD,900,2047,10230730.421
WORLD,900,2048,10333092.518
WORLD,900,2049,10437216.574
WORLD,900,2050,10543229.787
WORLD,900,2051,10651253.832
WORLD,900,2052,10761404.223
WORLD,900,2053,10873796.133
WORLD,900,2054,10988542.158
WORLD,900,2055,11105757.132
WORLD,900,2056,11225566.464
WORLD,900,2057,11348093.674
WORLD,900,2058,11473448.511
WORLD,900,2059,11601737.996
WORLD,900,2060,11733077.307
WORLD,900,2061,11867601.155
WORLD,900,2062,12005450.086
WORLD,900,2063,12146754.202
WORLD,900,2064,12291644.869
WORLD,900,2065,12440263.462
WORLD,900,2066,12592769.245
WORLD,900,2067,12749329.651
WORLD,900,2068,12910110.212
WORLD,900,2069,13075281.53
WORLD,900,2070,13245024.691
WORLD,900,2071,13419528.321
WORLD,900,2072,13598995.5
WORLD,900,2073,13783644.377
WORLD,900,2074,13973703.591
WORLD,900,2075,14169405.193
WORLD,900,2076,14370973.099
WORLD,900,2077,14578636.001
WORLD,900,2078,14792641.983
WORLD,900,2079,15013247.173
WORLD,900,2080,15240707.807
WORLD,900,2081,15475270.995
WORLD,900,2082,15717185.643
WORLD,900,2083,15966714.336
WORLD,900,2084,16224124.673
WORLD,900,2085,16489683.051
WORLD,900,2086,16763657.364
WORLD,900,2087,17046308.073
WORLD,900,2088,17337886.42
WORLD,900,2089,17638639.089
WORLD,900,2090,17948822.824
WORLD,900,2091,18268709.354
WORLD,900,2092,18598583.616
WORLD,900,2093,18938739.338
WORLD,900,2094,19289475.764
WORLD,900,2095,19651091.35
WORLD,900,2096,20023884.855
WORLD,900,2097,20408152.597
WORLD,900,2098,20804189.126
WORLD,900,2099,21212286.981
WORLD,900,2100,21632736.823
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
