Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7883801.792
WORLD,900,2022,7974797.218
WORLD,900,2023,8067252.206
WORLD,900,2024,8160744.583
WORLD,900,2025,8254962.614
WORLD,900,2026,8349711.746
WORLD,900,2027,8444906.927
WORLD,900,2028,8540558.67900001
WORLD,900,2029,8636743.528
WORLD,900,2030,8733522.26900001
WORLD,900,2031,8830852.633
WORLD,900,2032,8928511.526
WORLD,900,2033,9026062.341
WORLD,900,2034,9122948.05700001
WORLD,900,2035,9218767.063
WORLD,900,2036,9313353.996
WORLD,900,2037,9406793.30199999
WORLD,900,2038,9499252.956
WORLD,900,2039,9591020.9
WORLD,900,2040,9682331.79200001
WORLD,900,2041,9773235.656
WORLD,900,2042,9863730.958
WORLD,900,2043,9953952.21
WORLD,900,2044,10044052.111
WORLD,900,2045,10134164.418
WORLD,900,2046,10224365.073
WORLD,900,2047,10314720.045
WORLD,900,2048,10405336.75
WORLD,900,2049,10496326.079
WORLD,900,2050,10587773.914
WORLD,900,2051,10679735.296
WORLD,900,2052,10772228.298
WORLD,900,2053,10865250.174
WORLD,900,2054,10958774.339
WORLD,900,2055,11052774.676
WORLD,900,2056,11147251.075
WORLD,900,2057,11242194.679
WORLD,900,2058,11337550.42
WORLD,900,2059,11433247.289
WORLD,900,2060,11529222.442
WORLD,900,2061,11625455.545
WORLD,900,2062,11721923.103
WORLD,900,2063,11818555.787
WORLD,900,2064,11915273.01
WORLD,900,2065,12012015.418
WORLD,900,2066,12108763.781
WORLD,900,2067,12205524.599
WORLD,900,2068,12302302.934
WORLD,900,2069,12399115.604
WORLD,900,2070,12495986.834
WORLD,900,2071,12592925.814
WORLD,900,2072,12689962.459
WORLD,900,2073,12787168.962
WORLD,900,2074,12884637.328
WORLD,900,2075,12982447.172
WORLD,900,2076,13080637.698
WORLD,900,2077,13179238.963
WORLD,900,2078,13278307.781
WORLD,900,2079,13377904.428
WORLD,900,2080,13478079.013
WORLD,900,2081,13578855.479
WORLD,900,2082,13680253.502
WORLD,900,2083,13782308.789
WORLD,900,2084,13885055.549
WORLD,900,2085,13988513.727
WORLD,900,2086,14092686.346
WORLD,900,2087,14197552.888
WORLD,900,2088,14303073.145
WORLD,900,2089,14409190.991
WORLD,900,2090,14515851.231
WORLD,900,2091,14623005.072
WORLD,900,2092,14730608.882
WORLD,900,2093,14838618.745
WORLD,900,2094,14946984.755
WORLD,900,2095,15055647.057
WORLD,900,2096,15164532.384
WORLD,900,2097,15273554.464
WORLD,900,2098,15382612.955
WORLD,900,2099,15491593.518
WORLD,900,2100,15600368.927
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
