Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7872530.341
WORLD,900,2022,7948477.229
WORLD,900,2023,8022617.912
WORLD,900,2024,8094936.96400001
WORLD,900,2025,8165423.842
WORLD,900,2026,8234074.796
WORLD,900,2027,8300890.79200001
WORLD,900,2028,8365877.815
WORLD,900,2029,8429045.09
WORLD,900,2030,8490400.44
WORLD,900,2031,8549946.218
WORLD,900,2032,8607674.309
WORLD,900,2033,8663565.014
WORLD,900,2034,8717592.1
WORLD,900,2035,8769737.124
WORLD,900,2036,8819993.16700001
WORLD,900,2037,8868367.178
WORLD,900,2038,8914870.544
WORLD,900,2039,8959520.481
WORLD,900,2040,9002331.20399999
WORLD,900,2041,9043311.131
WORLD,900,2042,9082460.865
WORLD,900,2043,9119778.80000001
WORLD,900,2044,9155260.137
WORLD,900,2045,9188905.045
WORLD,900,2046,9220721.404
WORLD,900,2047,9250724.94399999
WORLD,900,2048,9278933.117
WORLD,900,2049,9305367.817
WORLD,900,2050,9330049.94
WORLD,900,2051,9353000.459
WORLD,900,2052,9374237.048
WORLD,900,2053,9393774.971
WORLD,900,2054,9411627.599
WORLD,900,2055,9427814.417
WORLD,900,2056,9442356.691
WORLD,900,2057,9455286.279
WORLD,900,2058,9466646.03300001
WORLD,900,2059,9476484.968
WORLD,900,2060,9484848.378
WORLD,900,2061,9491771.376
WORLD,900,2062,9497282.154
WORLD,900,2063,9501409.904
WORLD,900,2064,9504181.112
WORLD,900,2065,9505625.151
WORLD,900,2066,9505773.714
WORLD,900,2067,9504662.935
WORLD,900,2068,9502332.434
WORLD,900,2069,9498823.721
WORLD,900,2070,9494175.878
WORLD,900,2071,9488417.487
WORLD,900,2072,9481578.404
WORLD,900,2073,9473700.386
WORLD,900,2074,9464828.287
WORLD,900,2075,9454999.457
WORLD,900,2076,9444239.611
WORLD,900,2077,9432564.534
WORLD,900,2078,9419983.839
WORLD,900,2079,9406501.759
WORLD,900,2080,9392122.251
WORLD,900,2081,9376858.085
WORLD,900,2082,9360719.621
WORLD,900,2083,9343704.301
WORLD,900,2084,9325804.672
WORLD,900,2085,9307016.546
WORLD,900,2086,9287348.768
WORLD,900,2087,9266810.095
WORLD,900,2088,9245397.155
WORLD,900,2089,9223103.035
WORLD,900,2090,9199928.279
WORLD,900,2091,9175882.77399999
WORLD,900,2092,9150984.652
WORLD,900,2093,9125258.26
WORLD,900,2094,9098731.027
WORLD,900,2095,9071430.283
WORLD,900,2096,9043383.582
WORLD,900,2097,9014616.684
WORLD,900,2098,8985154.325
WORLD,900,2099,8955020.308
WORLD,900,2100,8924236.947
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
UN development groups,1803,2079,...
UN development groups,1803,2080,...
UN development groups,1803,2081,...
UN development groups,1803,2082,...
UN development groups,1803,2083,...
