Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7866230.22799999
WORLD,900,2022,7932878.521
WORLD,900,2023,7996064.475
WORLD,900,2024,8057747.073
WORLD,900,2025,8119378.622
WORLD,900,2026,8181356.27500001
WORLD,900,2027,8243335.336
WORLD,900,2028,8305138.982
WORLD,900,2029,8366355.687
WORLD,900,2030,8426682.74
WORLD,900,2031,8486146.451
WORLD,900,2032,8544905.36000001
WORLD,900,2033,8602916.97799999
WORLD,900,2034,8660128.008
WORLD,900,2035,8716482.309
WORLD,900,2036,8771951.839
WORLD,900,2037,8826486.007
WORLD,900,2038,8879975.737
WORLD,900,2039,8932289.962
WORLD,900,2040,8983323.949
WORLD,900,2041,9033035.824
WORLD,900,2042,9081410.493
WORLD,900,2043,9128405.74
WORLD,900,2044,9173986.17099999
WORLD,900,2045,9218132.88899999
WORLD,900,2046,9260828.723
WORLD,900,2047,9302089.834
WORLD,900,2048,9341978.723
WORLD,900,2049,9380583.623
WORLD,900,2050,9417980.4
WORLD,900,2051,9454202.491
WORLD,900,2052,9489271.082
WORLD,900,2053,9523237.893
WORLD,900,2054,9556158.39
WORLD,900,2055,9588082.823
WORLD,900,2056,9619049.456
WORLD,900,2057,9649091.193
WORLD,900,2058,9678243.45399999
WORLD,900,2059,9706539.84400001
WORLD,900,2060,9734010.71300001
WORLD,900,2061,9760683.947
WORLD,900,2062,9786584.667
WORLD,900,2063,9811736.586
WORLD,900,2064,9836161.20299999
WORLD,900,2065,9859877.311
WORLD,900,2066,9882910.28200001
WORLD,900,2067,9905274.386
WORLD,900,2068,9926963.065
WORLD,900,2069,9947960.49000001
WORLD,900,2070,9968260.813
WORLD,900,2071,9987880.075
WORLD,900,2072,10006846.482
WORLD,900,2073,10025179.963
WORLD,900,2074,10042904.223
WORLD,900,2075,10060046.833
WORLD,900,2076,10076635.538
WORLD,900,2077,10092704.626
WORLD,900,2078,10108297.513
WORLD,900,2079,10123463.182
WORLD,900,2080,10138250.153
WORLD,900,2081,10152692.149
WORLD,900,2082,10166830.759
WORLD,900,2083,10180730.652
WORLD,900,2084,10194464.555
WORLD,900,2085,10208094.571
WORLD,900,2086,10221658.679
WORLD,900,2087,10235183.2
WORLD,900,2088,10248701.311
WORLD,900,2089,10262241.692
WORLD,900,2090,10275828.086
WORLD,900,2091,10289478.893
WORLD,900,2092,10303207.349
WORLD,900,2093,10317021.577
WORLD,900,2094,10330925.078
WORLD,900,2095,10344916.924
WORLD,900,2096,10358991.886
WORLD,900,2097,10373140.299
WORLD,900,2098,10387348.493
WORLD,900,2099,10401598.242
WORLD,900,2100,10415866.68
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
UN development groups,1803,2079,...
UN development groups,1803,2080,...
UN development groups,1803,2081,...
UN development groups,1803,2082,...
UN development groups,1803,2083,...
UN development groups,1803,2084,...
UN development groups,1803,2085,...
UN development groups,1803,2086,...
UN development groups,1803,2087,...
UN development groups,1803,2088,...
UN development groups,1803,2089,...
UN development groups,1803,2090,...
UN development groups,1803,2091,...
UN development groups,1803,2092,...
UN development groups,1803,2093,...
UN development groups,1803,2094,...
UN development groups,1803,2095,...
UN development groups,1803,2096,...
UN development groups,1803,2097,...
UN development groups,1803,2098,...
UN development groups,1803,2099,...
UN development groups,1803,2100,...
More developed regions,901,2020,1273304.261
More developed regions,901,2021,1277766.316
More developed regions,901,2022,1282753.122
More developed regions,901,2023,1288026.037
More developed regions,901,2024,1293234.831
More developed regions,901,2025,1298121.961
More developed regions,901,2026,1302611.495
More developed regions,901,2027,1306769.414
More developed regions,901,2028,1310651.162
More developed regions,901,2029,1314362.037
More developed regions,901,2030,1317978.961
More developed regions,901,2031,1321506.449
More developed regions,901,2032,1324909.508
More developed regions,901,2033,1328182.699
More developed regions,901,2034,1331314.792
More developed regions,901,2035,1334300.423
More developed regions,901,2036,1337145.429
More developed regions,901,2037,1339863.58
More developed regions,901,2038,1342466.497
More developed regions,901,2039,1344968.775
More developed regions,901,2040,1347384.95
More developed regions,901,2041,1349727.017
More developed regions,901,2042,1352008.02
More developed regions,901,2043,1354245.224
More developed regions,901,2044,1356457.683
More developed regions,901,2045,1358664.205
More developed regions,901,2046,1360875.568
More developed regions,901,2047,1363106.937
More developed regions,901,2048,1365385.723
More developed regions,901,2049,1367743.927
More developed regions,901,2050,1370206.186
More developed regions,901,2051,1372783.751
More developed regions,901,2052,1375479.124
More developed regions,901,2053,1378295.928
More developed regions,901,2054,1381233.917
More developed regions,901,2055,1384290.813
More developed regions,901,2056,1387469.811
More developed regions,901,2057,1390767.291
More developed regions,901,2058,1394163.167
More developed regions,901,2059,1397630.939
More developed regions,901,2060,1401149.236
More developed regions,901,2061,1404711.706
More developed regions,901,2062,1408317.629
More developed regions,901,2063,1411957.957
More developed regions,901,2064,1415624.077
More developed regions,901,2065,1419310.251
More developed regions,901,2066,1423013.872
More developed regions,901,2067,1426736.864
More developed regions,901,2068,1430485.725
More developed regions,901,2069,1434270.243
More developed regions,901,2070,1438100.02
More developed regions,901,2071,1441979.035
More developed regions,901,2072,1445912.932
More developed regions,901,2073,1449914.974
More developed regions,901,2074,1454001.158
More developed regions,901,2075,1458185.117
More developed regions,901,2076,1462474.237
More developed regions,901,2077,1466873.601
More developed regions,901,2078,1471392.025
More developed regions,901,2079,1476038.179
More developed regions,901,2080,1480819.116
More developed regions,901,2081,1485737.922
More developed regions,901,2082,1490797.016
More developed regions,901,2083,1496000.317
More developed regions,901,2084,1501351.103
More developed regions,901,2085,1506850.489
More developed regions,901,2086,1512497.145
More developed regions,901,2087,1518286.221
More developed regions,901,2088,1524209.558
More developed regions,901,2089,1530256.661
More developed regions,901,2090,1536416.666
More developed regions,901,2091,1542679.584
More developed regions,901,2092,1549036.151
More developed regions,901,2093,1555476.612
More developed regions,901,2094,1561990.357
More developed regions,901,2095,1568565.049
More developed regions,901,2096,1575186.108
More developed regions,901,2097,1581836.868
More developed regions,901,2098,1588498.382
More developed regions,901,2099,1595149.63
More developed regions,901,2100,1601766.94
Less developed regions,902,2020,6521494.468
Less developed regions,902,2021,6588463.912
Less developed regions,902,2022,6650125.399
Less developed regions,902,2023,6708038.438
Less developed regions,902,2024,6764512.242
Less developed regions,902,2025,6821256.661
Less developed regions,902,2026,6878744.78
Less developed regions,902,2027,6936565.922
Less developed regions,902,2028,6994487.82
Less developed regions,902,2029,7051993.65
Less developed regions,902,2030,7108703.77900001
Less developed regions,902,2031,7164640.002
Less developed regions,902,2032,7219995.852
Less developed regions,902,2033,7274734.279
Less developed regions,902,2034,7328813.216
Less developed regions,902,2035,7382181.886
Less developed regions,902,2036,7434806.41
Less developed regions,902,2037,7486622.427
Less developed regions,902,2038,7537509.24
Less developed regions,902,2039,7587321.187
Less developed regions,902,2040,7635938.999
Less developed regions,902,2041,7683308.807
Less developed regions,902,2042,7729402.473
Less developed regions,902,2043,7774160.516
Less developed regions,902,2044,7817528.488
Less developed regions,902,2045,7859468.684
Less developed regions,902,2046,7899953.155
Less developed regions,902,2047,7938982.897
Less developed regions,902,2048,7976593
Less developed regions,902,2049,8012839.696
Less developed regions,902,2050,8047774.214
Less developed regions,902,2051,8081418.74
Less developed regions,902,2052,8113791.958
Less developed regions,902,2053,8144941.965
Less developed regions,902,2054,8174924.473
Less developed regions,902,2055,8203792.01
Less developed regions,902,2056,8231579.64499999
Less developed regions,902,2057,8258323.902
Less developed regions,902,2058,8284080.287
Less developed regions,902,2059,8308908.905
Less developed regions,902,2060,8332861.47700001
Less developed regions,902,2061,8355972.241
Less developed regions,902,2062,8378267.038
Less developed regions,902,2063,8399778.629
Less developed regions,902,2064,8420537.126
Less developed regions,902,2065,8440567.06
Less developed regions,902,2066,8459896.41
Less developed regions,902,2067,8478537.522
Less developed regions,902,2068,8496477.34000001
Less developed regions,902,2069,8513690.247
Less developed regions,902,2070,8530160.793
Less developed regions,902,2071,8545901.03999999
Less developed regions,902,2072,8560933.55
Less developed regions,902,2073,8575264.98899999
Less developed regions,902,2074,8588903.065
Less developed regions,902,2075,8601861.716
Less developed regions,902,2076,8614161.301
Less developed regions,902,2077,8625831.025
Less developed regions,902,2078,8636905.488
Less developed regions,902,2079,8647425.00300001
Less developed regions,902,2080,8657431.037
Less developed regions,902,2081,8666954.227
Less developed regions,902,2082,8676033.743
Less developed regions,902,2083,8684730.335
Less developed regions,902,2084,8693113.452
Less developed regions,902,2085,8701244.082
Less developed regions,902,2086,8709161.534
Less developed regions,902,2087,8716896.979
Less developed regions,902,2088,8724491.753
Less developed regions,902,2089,8731985.031
Less developed regions,902,2090,8739411.42
Less developed regions,902,2091,8746799.309
Less developed regions,902,2092,8754171.19800001
Less developed regions,902,2093,8761544.965
Less developed regions,902,2094,8768934.721
Less developed regions,902,2095,8776351.87499999
Less developed regions,902,2096,8783805.778
Less developed regions,902,2097,8791303.431
Less developed regions,902,2098,8798850.111
Less developed regions,902,2099,8806448.612
Less developed regions,902,2100,8814099.74
Least developed countries,941,2020,1057438.163
Least developed countries,941,2021,1073249.162
Least developed countries,941,2022,1085820.854
Least developed countries,941,2023,1096313.491
Least developed countries,941,2024,1106437.651
Least developed countries,941,2025,1117460.676
Least developed countries,941,2026,1129741.462
Least developed countries,941,2027,1142983.188
Least developed countries,941,2028,1157010.329
Least developed countries,941,2029,1171433.643
Least developed countries,941,2030,1185968.088
Least developed countries,941,2031,1200630.509
Least developed countries,941,2032,1215569.584
Least developed countries,941,2033,1230765.151
Least developed countries,941,2034,1246195.357
Least developed countries,941,2035,1261829.647
Least developed countries,941,2036,1277640.306
Least developed countries,941,2037,1293578.44
Least developed countries,941,2038,1309564.232
Least developed countries,941,2039,1325501.797
Least developed countries,941,2040,1341307.948
Least developed countries,941,2041,1356940.441
Least developed countries,941,2042,1372364.463
Least developed countries,941,2043,1387514.462
Least developed countries,941,2044,1402321.634
Least developed countries,941,2045,1416732.167
Least developed countries,941,2046,1430711.644
Least developed countries,941,2047,1444247.868
Least developed countries,941,2048,1457340.719
Least developed countries,941,2049,1470003.456
Least developed countries,941,2050,1482248.958
Least developed countries,941,2051,1494073.848
Least developed countries,941,2052,1505479.567
Least developed countries,941,2053,1516493.193
Least developed countries,941,2054,1527151.315
Least developed countries,941,2055,1537485.447
Least developed countries,941,2056,1547509.343
Least developed countries,941,2057,1557233.074
Least developed countries,941,2058,1566680.876
Least developed countries,941,2059,1575879.101
Least developed countries,941,2060,1584849.326
Least developed countries,941,2061,1593601.634
Least developed countries,941,2062,1602143.393
Least developed countries,941,2063,1610489.236
Least developed countries,941,2064,1618653.508
Least developed countries,941,2065,1626644.463
Least developed countries,941,2066,1634466.842
Least developed countries,941,2067,1642113.506
Least developed countries,941,2068,1649564.338
Least developed countries,941,2069,1656790.888
Least developed countries,941,2070,1663768.681
Least developed countries,941,2071,1670490.152
Least developed countries,941,2072,1676948.736
Least developed countries,941,2073,1683121.33
Least developed countries,941,2074,1688981.334
Least developed countries,941,2075,1694508.427
Least developed countries,941,2076,1699695.611
Least developed countries,941,2077,1704541.756
