Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7876434.843
WORLD,900,2022,7957752.813
WORLD,900,2023,8038690.359
WORLD,900,2024,8119198.894
WORLD,900,2025,8199244.112
WORLD,900,2026,8278806.707
WORLD,900,2027,8357881.11100001
WORLD,900,2028,8436474.54
WORLD,900,2029,8514604.719
WORLD,900,2030,8592292.26600001
WORLD,900,2031,8669553.377
WORLD,900,2032,8746392.613
WORLD,900,2033,8822800.962
WORLD,900,2034,8898762.62400001
WORLD,900,2035,8974280.58
WORLD,900,2036,9049388.223
WORLD,900,2037,9124141.479
WORLD,900,2038,9198596.069
WORLD,900,2039,9272818.949
WORLD,900,2040,9346884.82799999
WORLD,900,2041,9420859.97900001
WORLD,900,2042,9494828.405
WORLD,900,2043,9568907.31
WORLD,900,2044,9643231.14600001
WORLD,900,2045,9717926.87
WORLD,900,2046,9793093.525
WORLD,900,2047,9868826.169
WORLD,900,2048,9945244.65999999
WORLD,900,2049,10022473.463
WORLD,900,2050,10100631.101
WORLD,900,2051,10179824.087
WORLD,900,2052,10260150.449
WORLD,900,2053,10341708.476
WORLD,900,2054,10424592.615
WORLD,900,2055,10508896.99
WORLD,900,2056,10594724.755
WORLD,900,2057,10682173.398
WORLD,900,2058,10771325.151
WORLD,900,2059,10862256.559
WORLD,900,2060,10955051.212
WORLD,900,2061,11049810.807
WORLD,900,2062,11146642.277
WORLD,900,2063,11245640.751
WORLD,900,2064,11346901.246
WORLD,900,2065,11450526.19
WORLD,900,2066,11556628.588
WORLD,900,2067,11665330.474
WORLD,900,2068,11776759.759
WORLD,900,2069,11891050.773
WORLD,900,2070,12008339.403
WORLD,900,2071,12128751.447
WORLD,900,2072,12252422.092
WORLD,900,2073,12379509.651
WORLD,900,2074,12510181.84
WORLD,900,2075,12644598.499
WORLD,900,2076,12782895.882
WORLD,900,2077,12925203.837
WORLD,900,2078,13071666.672
WORLD,900,2079,13222429.136
WORLD,900,2080,13377629.001
WORLD,900,2081,13537399.732
WORLD,900,2082,13701861.964
WORLD,900,2083,13871122.312
WORLD,900,2084,14045278.41
WORLD,900,2085,14224432.647
WORLD,900,2086,14408708.888
WORLD,900,2087,14598229.93
WORLD,900,2088,14793094.999
WORLD,900,2089,14993398.242
WORLD,900,2090,15199244.012
WORLD,900,2091,15410752.546
WORLD,900,2092,15628058.375
WORLD,900,2093,15851305.654
WORLD,900,2094,16080642.761
WORLD,900,2095,16316217.347
WORLD,900,2096,16558175.606
WORLD,900,2097,16806660.127
WORLD,900,2098,17061810.233
WORLD,900,2099,17323763.045
WORLD,900,2100,17592651.438
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
