Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7864787.64799999
WORLD,900,2022,7929323.32
WORLD,900,2023,7989753.89
WORLD,900,2024,8048107.53500001
WORLD,900,2025,8105883.422
WORLD,900,2026,8163469.649
WORLD,900,2027,8220479.232
WORLD,900,2028,8276712.476
WORLD,900,2029,8331731.148
WORLD,900,2030,8385213.474
WORLD,900,2031,8437180.62199999
WORLD,900,2032,8487798.553
WORLD,900,2033,8537037.062
WORLD,900,2034,8584862.24200001
WORLD,900,2035,8631234.997
WORLD,900,2036,8676139.71
WORLD,900,2037,8719534.655
WORLD,900,2038,8761323.457
WORLD,900,2039,8801388.716
WORLD,900,2040,8839641.70499999
WORLD,900,2041,8876058.595
WORLD,900,2042,8910646.55099999
WORLD,900,2043,8943391.207
WORLD,900,2044,8974288.24
WORLD,900,2045,9003349.234
WORLD,900,2046,9030579.414
WORLD,900,2047,9056020.279
WORLD,900,2048,9079768.952
WORLD,900,2049,9101952.256
WORLD,900,2050,9122680.371
WORLD,900,2051,9142011.535
WORLD,900,2052,9159986.821
WORLD,900,2053,9176680.21099999
WORLD,900,2054,9192167.423
WORLD,900,2055,9206516.95
WORLD,900,2056,9219787.799
WORLD,900,2057,9232028.816
WORLD,900,2058,9243284.377
WORLD,900,2059,9253592.474
WORLD,900,2060,9262991.59
WORLD,900,2061,9271524.255
WORLD,900,2062,9279232.605
WORLD,900,2063,9286149.756
WORLD,900,2064,9292305.275
WORLD,900,2065,9297728.778
WORLD,900,2066,9302459.578
WORLD,900,2067,9306531.587
WORLD,900,2068,9309963.446
WORLD,900,2069,9312768.32600001
WORLD,900,2070,9314966.80400001
WORLD,900,2071,9316588.67699999
WORLD,900,2072,9317677.032
WORLD,900,2073,9318281.955
WORLD,900,2074,9318459.891
WORLD,900,2075,9318263.187
WORLD,900,2076,9317729.69500001
WORLD,900,2077,9316894.036
WORLD,900,2078,9315803.029
WORLD,900,2079,9314504.68699999
WORLD,900,2080,9313042.133
WORLD,900,2081,9311450.469
WORLD,900,2082,9309759.075
WORLD,900,2083,9307998.175
WORLD,900,2084,9306195.38899999
WORLD,900,2085,9304376.007
WORLD,900,2086,9302564.77700001
WORLD,900,2087,9300782.437
WORLD,900,2088,9299043.19399999
WORLD,900,2089,9297357.56
WORLD,900,2090,9295735.738
WORLD,900,2091,9294189.714
WORLD,900,2092,9292732.348
WORLD,900,2093,9291376.831
WORLD,900,2094,9290134.914
WORLD,900,2095,9289015.034
WORLD,900,2096,9288023.426
WORLD,900,2097,9287162.925
WORLD,900,2098,9286432.738
WORLD,900,2099,9285828.788
WORLD,900,2100,9285343.942
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
UN development groups,1803,2079,...
UN development groups,1803,2080,...
UN development groups,1803,2081,...
UN development groups,1803,2082,...
UN development groups,1803,2083,...
UN development groups,1803,2084,...
UN development groups,1803,2085,...
UN development groups,1803,2086,...
UN development groups,1803,2087,...
UN development groups,1803,2088,...
UN development groups,1803,2089,...
UN development groups,1803,2090,...
UN development groups,1803,2091,...
UN development groups,1803,2092,...
UN development groups,1803,2093,...
UN development groups,1803,2094,...
UN development groups,1803,2095,...
UN development groups,1803,2096,...
UN development groups,1803,2097,...
UN development groups,1803,2098,...
UN development groups,1803,2099,...
UN development groups,1803,2100,...
More developed regions,901,2020,1273304.261
More developed regions,901,2021,1275995.068
More developed regions,901,2022,1278449.906
More developed regions,901,2023,1280611.665
More developed regions,901,2024,1282405.92
More developed regions,901,2025,1283779.168
More developed regions,901,2026,1284712.413
More developed regions,901,2027,1285218.218
More developed regions,901,2028,1285314.862
More developed regions,901,2029,1285035.125
More developed regions,901,2030,1284407.194
More developed regions,901,2031,1283440.682
More developed regions,901,2032,1282140.8
More developed regions,901,2033,1280528.106
More developed regions,901,2034,1278626.095
More developed regions,901,2035,1276457.84
More developed regions,901,2036,1274043.007
More developed regions,901,2037,1271401.039
More developed regions,901,2038,1268555.616
More developed regions,901,2039,1265532.033
More developed regions,901,2040,1262354.823
More developed regions,901,2041,1259045.647
More developed regions,901,2042,1255626.783
More developed regions,901,2043,1252124.739
More developed regions,901,2044,1248567.062
More developed regions,901,2045,1244979.646
More developed regions,901,2046,1241379.815
More developed regions,901,2047,1237786.165
More developed regions,901,2048,1234227.474
More developed regions,901,2049,1230734.257
More developed regions,901,2050,1227330.713
More developed regions,901,2051,1224030.035
More developed regions,901,2052,1220836.871
More developed regions,901,2053,1217753.911
More developed regions,901,2054,1214779.453
More developed regions,901,2055,1211909.839
More developed regions,901,2056,1209149.194
More developed regions,901,2057,1206494.391
More developed regions,901,2058,1203924.741
More developed regions,901,2059,1201412.195
More developed regions,901,2060,1198935.201
More developed regions,901,2061,1196488.205
More developed regions,901,2062,1194072.352
More developed regions,901,2063,1191680.321
More developed regions,901,2064,1189305.378
More developed regions,901,2065,1186944.373
More developed regions,901,2066,1184595.615
More developed regions,901,2067,1182264.272
More developed regions,901,2068,1179962.851
More developed regions,901,2069,1177709.185
More developed regions,901,2070,1175518.777
More developed regions,901,2071,1173398.059
More developed regions,901,2072,1171353.033
More developed regions,901,2073,1169399.276
More developed regions,901,2074,1167554.409
More developed regions,901,2075,1165832.766
More developed regions,901,2076,1164241.311
More developed regions,901,2077,1162783.848
More developed regions,901,2078,1161467.439
More developed regions,901,2079,1160298.219
More developed regions,901,2080,1159279.868
More developed regions,901,2081,1158413.244
More developed regions,901,2082,1157696.165
More developed regions,901,2083,1157124.283
More developed regions,901,2084,1156690.995
More developed regions,901,2085,1156388.454
More developed regions,901,2086,1156211.206
More developed regions,901,2087,1156150.494
More developed regions,901,2088,1156190.602
More developed regions,901,2089,1156312.609
More developed regions,901,2090,1156499.262
More developed regions,901,2091,1156736.667
More developed regions,901,2092,1157014.108
More developed regions,901,2093,1157322.099
More developed regions,901,2094,1157651.02
More developed regions,901,2095,1157989.707
More developed regions,901,2096,1158324.775
More developed regions,901,2097,1158640.549
More developed regions,901,2098,1158918.513
More developed regions,901,2099,1159138.057
More developed regions,901,2100,1159275.755
Less developed regions,902,2020,6521494.468
Less developed regions,902,2021,6588792.58
Less developed regions,902,2022,6650873.414
Less developed regions,902,2023,6709142.225
Less developed regions,902,2024,6765701.61500001
Less developed regions,902,2025,6822104.254
Less developed regions,902,2026,6878757.236
Less developed regions,902,2027,6935261.014
Less developed regions,902,2028,6991397.614
Less developed regions,902,2029,7046696.023
Less developed regions,902,2030,7100806.28
Less developed regions,902,2031,7153739.94
Less developed regions,902,2032,7205657.753
Less developed regions,902,2033,7256508.956
Less developed regions,902,2034,7306236.14700001
Less developed regions,902,2035,7354777.157
Less developed regions,902,2036,7402096.703
Less developed regions,902,2037,7448133.616
Less developed regions,902,2038,7492767.841
Less developed regions,902,2039,7535856.683
Less developed regions,902,2040,7577286.882
Less developed regions,902,2041,7617012.948
Less developed regions,902,2042,7655019.768
Less developed regions,902,2043,7691266.468
